_id,dataNotificacao,cnes,ocupacaoSuspeitoCli,ocupacaoSuspeitoUti,ocupacaoConfirmadoCli,ocupacaoConfirmadoUti,saidaSuspeitaObitos,saidaSuspeitaAltas,saidaConfirmadaObitos,saidaConfirmadaAltas,origem,_p_usuario,estadoNotificacao,municipioNotificacao,estado,municipio,excluido,validado,_created_at,_updated_at
aXIYh1UZOp,2020-04-15T19:46:53.541Z,2536935,4,0,0,0,0,0,0,0,parse-cloud,_User$7WZDT2qNwX,Mato Grosso do Sul,Ribas do Rio Pardo,Mato Grosso do Sul,Ribas do Rio Pardo,false,false,2020-04-15T19:47:26.445Z,2020-08-01T20:02:04.892Z
acbnDmQvkH,2020-04-03T03:00:00.000Z,2764814,0,0,0,0,0,0,0,0,parse-cloud,_User$r9WwpbBwyC,Minas Gerais,São Lourenço,Minas Gerais,São Lourenço,false,false,2020-04-15T19:47:48.602Z,2020-08-01T21:25:03.886Z
BahxFOH0x3,2020-04-04T03:00:00.000Z,2764814,2,0,0,0,0,0,0,0,parse-cloud,_User$r9WwpbBwyC,Minas Gerais,São Lourenço,Minas Gerais,São Lourenço,false,false,2020-04-15T19:48:18.868Z,2020-08-01T21:18:54.014Z
uGMsd4PID0,2020-04-08T03:00:00.000Z,2760819,1,0,1,0,0,0,0,0,parse-cloud,_User$cIStY25tjj,Minas Gerais,Minduri,Minas Gerais,Minduri,false,false,2020-04-15T19:48:29.869Z,2020-08-01T20:52:23.503Z
JuaaLkJsiE,2020-04-05T03:00:00.000Z,2764814,2,0,0,0,0,0,0,0,parse-cloud,_User$r9WwpbBwyC,Minas Gerais,São Lourenço,Minas Gerais,São Lourenço,false,false,2020-04-15T19:48:45.802Z,2020-08-01T21:12:59.786Z
ypd5rmtMv5,2020-04-01T04:00:00.000Z,2536935,5,0,0,0,0,0,0,0,parse-cloud,_User$7WZDT2qNwX,Mato Grosso do Sul,Ribas do Rio Pardo,Mato Grosso do Sul,Ribas do Rio Pardo,false,false,2020-04-15T19:49:57.334Z,2020-08-01T21:31:50.667Z
CiDXYBiCFd,2020-04-06T03:00:00.000Z,2764814,1,0,0,0,0,0,0,1,parse-cloud,_User$GKcCPgoGXj,Minas Gerais,São Lourenço,Minas Gerais,São Lourenço,false,false,2020-04-15T19:50:54.240Z,2020-08-01T21:06:50.471Z
jsHO4lnA7U,2020-04-01T03:00:00.000Z,2760819,0,0,0,0,0,0,0,0,parse-cloud,_User$cIStY25tjj,Minas Gerais,Minduri,Minas Gerais,Minduri,false,false,2020-04-15T19:50:55.721Z,2020-08-01T21:37:28.264Z
cVW95xH8eB,2020-04-02T03:00:00.000Z,2760819,0,0,0,0,0,0,0,0,parse-cloud,_User$cIStY25tjj,Minas Gerais,Minduri,Minas Gerais,Minduri,false,false,2020-04-15T19:51:19.123Z,2020-08-01T21:31:15.786Z
6GHRYpM2em,2020-04-07T03:00:00.000Z,2764814,2,0,0,0,0,0,0,0,parse-cloud,_User$r9WwpbBwyC,Minas Gerais,São Lourenço,Minas Gerais,São Lourenço,false,false,2020-04-15T19:51:28.293Z,2020-08-01T21:00:40.618Z
WCAxrAig4V,2020-04-02T04:00:00.000Z,2536935,5,0,0,0,0,0,0,0,parse-cloud,_User$7WZDT2qNwX,Mato Grosso do Sul,Ribas do Rio Pardo,Mato Grosso do Sul,Ribas do Rio Pardo,false,false,2020-04-15T19:51:32.566Z,2020-08-01T21:25:42.360Z
VPQAAqBe0p,2020-04-03T03:00:00.000Z,2760819,0,0,0,0,0,0,0,0,parse-cloud,_User$cIStY25tjj,Minas Gerais,Minduri,Minas Gerais,Minduri,false,false,2020-04-15T19:51:44.230Z,2020-08-01T21:24:52.455Z
PBNujfPjlH,2020-04-04T03:00:00.000Z,2760819,0,0,0,0,0,0,0,0,parse-cloud,_User$cIStY25tjj,Minas Gerais,Minduri,Minas Gerais,Minduri,false,false,2020-04-15T19:52:16.200Z,2020-08-01T21:18:33.866Z
x4KIB3Zz1R,2020-04-09T03:00:00.000Z,2760819,1,0,0,0,0,0,0,0,parse-cloud,_User$cIStY25tjj,Minas Gerais,Minduri,Minas Gerais,Minduri,false,false,2020-04-15T19:53:03.320Z,2020-08-01T20:45:45.655Z
zFjKV1ABj8,2020-04-10T03:00:00.000Z,2760819,1,0,0,0,0,0,0,0,parse-cloud,_User$cIStY25tjj,Minas Gerais,Minduri,Minas Gerais,Minduri,false,false,2020-04-15T19:53:35.791Z,2020-08-01T20:40:03.909Z
GEpfQx4Fz8,2020-04-08T03:00:00.000Z,2764814,2,0,0,0,0,0,0,0,parse-cloud,_User$EkP3CsEFW0,Minas Gerais,São Lourenço,Minas Gerais,São Lourenço,false,false,2020-04-15T19:53:42.311Z,2020-08-01T20:52:25.572Z
pa2RPS3kXa,2020-04-11T03:00:00.000Z,2760819,1,0,0,0,0,0,0,0,parse-cloud,_User$cIStY25tjj,Minas Gerais,Minduri,Minas Gerais,Minduri,false,false,2020-04-15T19:54:12.019Z,2020-08-01T20:33:30.163Z
